Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,668,94,38,0.8350,0.8766,0.9462,0.9101,0.9237,0.8378,0.8642
buyer,100,79,21,0,0.8817,0.7900,1.0000,0.8827,0.8833,0.8817,0.8807
address,100,52,35,13,0.8158,0.5977,0.8000,0.6842,0.8179,0.8158,0.8168
date,100,92,2,6,0.8900,0.9787,0.9388,0.9583,0.8900,0.8900,0.8900
currency,100,94,0,6,0.9400,1.0000,0.9400,0.9691,0.9400,0.9400,0.9400
subtotal,100,83,12,5,0.7600,0.8737,0.9432,0.9071,0.7600,0.7600,0.7600
discount,100,90,8,2,0.9000,0.9184,0.9783,0.9474,0.9000,0.9000,0.9000
tax,100,91,7,2,0.8500,0.9286,0.9785,0.9529,0.8500,0.8500,0.8500
total,100,87,9,4,0.7900,0.9062,0.9560,0.9305,0.7900,0.7900,0.7900
