Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,717,45,38,0.8962,0.9409,0.9497,0.9453,0.9237,0.8378,0.8642
buyer,100,94,6,0,0.8817,0.9400,1.0000,0.9691,0.8833,0.8817,0.8807
address,100,85,2,13,0.8158,0.9770,0.8673,0.9189,0.8179,0.8158,0.8168
date,100,93,1,6,0.8900,0.9894,0.9394,0.9637,0.8900,0.8900,0.8900
currency,100,94,0,6,0.9400,1.0000,0.9400,0.9691,0.9400,0.9400,0.9400
subtotal,100,83,12,5,0.7600,0.8737,0.9432,0.9071,0.7600,0.7600,0.7600
discount,100,90,8,2,0.9000,0.9184,0.9783,0.9474,0.9000,0.9000,0.9000
tax,100,91,7,2,0.8500,0.9286,0.9785,0.9529,0.8500,0.8500,0.8500
total,100,87,9,4,0.7900,0.9062,0.9560,0.9305,0.7900,0.7900,0.7900
