Field,Total,Tp,Fp,Fn,Accuracy,Precision,Recall,Fscore,Token_precision,Token_recall,Token_fscore
General Score,100,723,38,39,0.9038,0.9501,0.9488,0.9494,0.9421,0.8643,0.8845
buyer,100,96,4,0,0.9617,0.9600,1.0000,0.9796,0.9750,0.9617,0.9660
address,100,69,19,12,0.8176,0.7841,0.8519,0.8166,0.8184,0.8176,0.8179
date,100,93,0,7,0.8600,1.0000,0.9300,0.9637,0.8600,0.8600,0.8600
currency,100,93,0,7,0.9300,1.0000,0.9300,0.9637,0.9300,0.9300,0.9300
subtotal,100,91,3,6,0.8700,0.9681,0.9381,0.9529,0.8700,0.8700,0.8700
discount,100,97,0,3,0.9700,1.0000,0.9700,0.9848,0.9700,0.9700,0.9700
tax,100,96,1,3,0.9300,0.9897,0.9697,0.9796,0.9300,0.9300,0.9300
total,100,88,11,1,0.8400,0.8889,0.9888,0.9362,0.8400,0.8400,0.8400
